[11:07:03.984] INFO (17898): Wallet sync [109]: shielded=false, unshielded=true, dust=false
[11:07:04.041] INFO (17898): Wallet sync [110]: shielded=false, unshielded=true, dust=false
[11:07:04.109] INFO (17898): Wallet sync [111]: shielded=false, unshielded=true, dust=false
[11:07:04.155] INFO (17898): Wallet sync [112]: shielded=false, unshielded=true, dust=false
[11:07:04.223] INFO (17898): Wallet sync [113]: shielded=false, unshielded=true, dust=false
[11:07:04.273] INFO (17898): Wallet sync [114]: shielded=false, unshielded=true, dust=false
[11:07:04.393] INFO (17898): Wallet sync [115]: shielded=false, unshielded=true, dust=false
[11:07:04.454] INFO (17898): Wallet sync [116]: shielded=false, unshielded=true, dust=false
[90mstderr[2m | src/test/hw.test.ts[2m > [22m[2mPrivate Credit Score Contract (preprod)
[22m[39m2026-07-25 11:07:04        RPC-CORE: subscribeRuntimeVersion(): RuntimeVersion:: disconnected from wss://rpc.preprod.midnight.network/: 1000:: Normal Closure

[90mstderr[2m | src/test/hw.test.ts[2m > [22m[2mPrivate Credit Score Contract (preprod)
[22m[39m2026-07-25 11:07:04        RPC-CORE: subscribeRuntimeVersion(): RuntimeVersion:: disconnected from wss://rpc.preprod.midnight.network/: 1000:: Normal Closure

[11:07:04.528] INFO (17898): Wallet sync [117]: shielded=false, unshielded=true, dust=false
[11:07:04.594] INFO (17898): Wallet sync [118]: shielded=false, unshielded=true, dust=false
[11:07:04.696] INFO (17898): Wallet sync [119]: shielded=false, unshielded=true, dust=false
[11:07:04.775] INFO (17898): Wallet sync [120]: shielded=false, unshielded=true, dust=false
[11:07:04.858] INFO (17898): Wallet sync [121]: shielded=false, unshielded=true, dust=false
[11:07:04.904] INFO (17898): Wallet sync [122]: shielded=false, unshielded=true, dust=false
[11:07:04.974] INFO (17898): Wallet sync [123]: shielded=false, unshielded=true, dust=false
[11:07:05.029] INFO (17898): Wallet sync [124]: shielded=false, unshielded=true, dust=false
[11:07:05.114] INFO (17898): Wallet sync [125]: shielded=false, unshielded=true, dust=false
[11:07:05.179] INFO (17898): Wallet sync [126]: shielded=false, unshielded=true, dust=false
[11:07:05.277] INFO (17898): Wallet sync [127]: shielded=false, unshielded=true, dust=false
[11:07:05.347] INFO (17898): Wallet sync [128]: shielded=false, unshielded=true, dust=false
[11:07:05.445] INFO (17898): Wallet sync [129]: shielded=false, unshielded=true, dust=false
[11:07:05.498] INFO (17898): Wallet sync [130]: shielded=false, unshielded=true, dust=false
[11:07:05.576] INFO (17898): Wallet sync [131]: shielded=false, unshielded=true, dust=false
[11:07:05.644] INFO (17898): Wallet sync [132]: shielded=false, unshielded=true, dust=false
[11:07:05.718] INFO (17898): Wallet sync [133]: shielded=false, unshielded=true, dust=false
[11:07:05.770] INFO (17898): Wallet sync [134]: shielded=false, unshielded=true, dust=false
[11:07:05.856] INFO (17898): Wallet sync [135]: shielded=false, unshielded=true, dust=false
[11:07:05.895] INFO (17898): Wallet sync [136]: shielded=false, unshielded=true, dust=false
[11:07:05.966] INFO (17898): Wallet sync [137]: shielded=false, unshielded=true, dust=false
[11:07:06.005] INFO (17898): Wallet sync [138]: shielded=false, unshielded=true, dust=false
[11:07:06.094] INFO (17898): Wallet sync [139]: shielded=false, unshielded=true, dust=false
[11:07:06.146] INFO (17898): Wallet sync [140]: shielded=false, unshielded=true, dust=false
[11:07:06.223] INFO (17898): Wallet sync [141]: shielded=false, unshielded=true, dust=false
[11:07:06.319] INFO (17898): Wallet sync [142]: shielded=false, unshielded=true, dust=false
[11:07:06.439] INFO (17898): Wallet sync [143]: shielded=false, unshielded=true, dust=false
[11:07:06.492] INFO (17898): Wallet sync [144]: shielded=false, unshielded=true, dust=false
[11:07:06.581] INFO (17898): Wallet sync [145]: shielded=false, unshielded=true, dust=false
[11:07:06.645] INFO (17898): Wallet sync [146]: shielded=false, unshielded=true, dust=false
[11:07:06.736] INFO (17898): Wallet sync [147]: shielded=false, unshielded=true, dust=false
[11:07:06.791] INFO (17898): Wallet sync [148]: shielded=false, unshielded=true, dust=false
[11:07:06.876] INFO (17898): Wallet sync [149]: shielded=false, unshielded=true, dust=false
[11:07:06.940] INFO (17898): Wallet sync [150]: shielded=false, unshielded=true, dust=false
[11:07:07.048] INFO (17898): Wallet sync [151]: shielded=false, unshielded=true, dust=false
[11:07:07.098] INFO (17898): Wallet sync [152]: shielded=false, unshielded=true, dust=false
[11:07:07.181] INFO (17898): Wallet sync [153]: shielded=false, unshielded=true, dust=false
[11:07:07.244] INFO (17898): Wallet sync [154]: shielded=false, unshielded=true, dust=false
[11:07:07.334] INFO (17898): Wallet sync [155]: shielded=false, unshielded=true, dust=false
[11:07:07.393] INFO (17898): Wallet sync [156]: shielded=false, unshielded=true, dust=false
[11:07:07.479] INFO (17898): Wallet sync [157]: shielded=false, unshielded=true, dust=false
[11:07:07.546] INFO (17898): Wallet sync [158]: shielded=false, unshielded=true, dust=false
[11:07:07.619] INFO (17898): Wallet sync [159]: shielded=false, unshielded=true, dust=false
[11:07:07.700] INFO (17898): Wallet sync [160]: shielded=false, unshielded=true, dust=false
[11:07:07.787] INFO (17898): Wallet sync [161]: shielded=false, unshielded=true, dust=false
[11:07:07.843] INFO (17898): Wallet sync [162]: shielded=false, unshielded=true, dust=false
[11:07:07.925] INFO (17898): Wallet sync [163]: shielded=false, unshielded=true, dust=false
[11:07:07.974] INFO (17898): Wallet sync [164]: shielded=false, unshielded=true, dust=false
[11:07:08.055] INFO (17898): Wallet sync [165]: shielded=false, unshielded=true, dust=false
[11:07:08.112] INFO (17898): Wallet sync [166]: shielded=false, unshielded=true, dust=false
[11:07:08.185] INFO (17898): Wallet sync [167]: shielded=false, unshielded=true, dust=false
[11:07:08.228] INFO (17898): Wallet sync [168]: shielded=false, unshielded=true, dust=false
[11:07:08.312] INFO (17898): Wallet sync [169]: shielded=false, unshielded=true, dust=false
[11:07:08.351] INFO (17898): Wallet sync [170]: shielded=false, unshielded=true, dust=false
[11:07:08.430] INFO (17898): Wallet sync [171]: shielded=false, unshielded=true, dust=false
[11:07:08.488] INFO (17898): Wallet sync [172]: shielded=false, unshielded=true, dust=false
[11:07:08.557] INFO (17898): Wallet sync [173]: shielded=false, unshielded=true, dust=false
[11:07:08.610] INFO (17898): Wallet sync [174]: shielded=false, unshielded=true, dust=false
[11:07:08.674] INFO (17898): Wallet sync [175]: shielded=false, unshielded=true, dust=false
